uniprot	gene
Q14449	GRB14
Q96SQ5	ZNF587
Q9UQR0	SCML2
Q01118	SCN7A
Q9UQG0	ERVK-11
P53567	CEBPG
Q9NNZ6	PRM3
Q96PL5	ERMAP
Q5VV67	PPRC1
P07098	LIPF
Q9BT73	PSMG3
Q9NNX1	TUFT1
Q5JTD7	LRRC73
Q9H0X4	FAM234A
Q6ZNK6	TIFAB
Q96NR8	RDH12
Q01433	AMPD2
Q96E11	MRRF
A6NMZ5	OR4C45
Q9BX69	CARD6
B2RXF5	ZBTB42
P02775	PPBP
Q96FG2	ELMOD3
O43196	MSH5
P06314	IGKV4-1
O95876	WDPCP
P13747	HLA-E
Q8IVN8	SBSPON
Q9UI38	PRSS50
P55851	UCP2
Q8WZ55	BSND
P39086	GRIK1
A0A0C5B5G6	MT-RNR1
O14545	TRAFD1
O43581	SYT7
Q99720	SIGMAR1
P52757	CHN2
P32519	ELF1
Q13316	DMP1
Q96IZ0	PAWR
O75054	IGSF3
Q8IVI9	NOSTRIN
Q14602	ID2B
Q9NRA2	SLC17A5
Q86VY4	TSPYL5
Q9P2D3	HEATR5B
Q6UY09	CEACAM20
Q6UXB0	FAM131A
P49821	NDUFV1
Q9NWW6	NMRK1
P20290	BTF3
O75844	ZMPSTE24
P60606	CTXN1
Q96PZ2	FAM111A
E7ERA6	RNF223
Q9Y5L0	TNPO3
Q9H9E1	ANKRA2
Q9H4F1	ST6GALNAC4
Q9Y6D9	MAD1L1
Q9NVM6	DNAJC17
O75179	ANKRD17
Q86YJ7	ANKRD13B
A0A075B767	PPIAL4H
Q8NC24	RELL2
Q99743	NPAS2
Q92692	NECTIN2
Q8IVE0	CROCCP3
O75529	TAF5L
A0A087WXS9	TBC1D3I
O75841	UPK1B
Q6ZWB6	KCTD8
Q9NPJ4	PNRC2
Q9H2K2	TNKS2
Q8WXH4	ASB11
Q7Z736	PLEKHH3
Q00653	NFKB2
Q92466	DDB2
P41587	VIPR2
Q4KMP7	TBC1D10B
Q9BYC5	FUT8
Q5JWF8	ACTL10
Q9BY78	RNF26
Q9BZL4	PPP1R12C
P49792	RANBP2
Q96S44	TP53RK
Q9BX66	SORBS1
A6NL05	FAM74A7
Q6ZWE6	PLEKHM3
Q3SY00	TSGA10IP
Q01668	CACNA1D
O95759	TBC1D8
Q5CZA5	ZNF805
Q9NTX9	FAM217B
Q8N8K9	KIAA1958
P43234	CTSO
Q9H161	ALX4
Q9H2X6	HIPK2
O75157	TSC22D2
Q6ZMT9	DTHD1
Q86T26	TMPRSS11B
Q8WXI2	CNKSR2
P60842	EIF4A1
Q96PU8	QKI
P59533	TAS2R38
Q9Y5J5	PHLDA3
P34947	GRK5
Q3T906	GNPTAB
Q70EL4	USP43
Q9H4I2	ZHX3
P09544	WNT2
P21399	ACO1
P43320	CRYBB2
Q9Y5K1	SPO11
Q8WVV4	POF1B
O60299	LZTS3
Q8N3R9	MPP5
Q8NFM4	ADCY4
O14966	RAB29
P49916	LIG3
P26367	PAX6
O60684	KPNA6
Q9BUF5	TUBB6
D6RA61	USP17L22
O00444	PLK4
Q8NHU0	CT45A3
P53999	SUB1
P80075	CCL8
Q99684	GFI1
Q68CQ7	GLT8D1
P43694	GATA4
P01764	IGHV3-23
P0CW20	LIMS4
P01275	GCG
Q86UD3	MARCHF3
Q9BWH6	RPAP1
P13765	HLA-DOB
Q9Y6Z7	COLEC10
Q9BZV2	SLC19A3
Q8TEB1	DCAF11
P02741	CRP
Q9HCE1	MOV10
P62685	ERVK-8
Q8NHW6	OTOS
Q8TDG2	ACTRT1
Q9P1Z9	CCDC180
P62760	VSNL1
Q969K4	ABTB1
P51810	GPR143
Q5TCM9	LCE5A
Q96EK9	KTI12
A8MQ27	NEURL1B
Q9Y4B4	RAD54L2
P12110	COL6A2
P06318	IGLV6-57
Q08AI6	SLC38A11
Q9BZM6	ULBP1
Q3MUY2	PIGY
P59020	DSCR9
Q8IZF3	ADGRF4
Q9NQ25	SLAMF7
Q96LC7	SIGLEC10
P43403	ZAP70
Q1HG43	DUOXA1
Q9BYC2	OXCT2
Q00013	MPP1
Q07889	SOS1
Q92576	PHF3
Q13046	PSG7
Q9Y210	TRPC6
Q03252	LMNB2
Q7Z5R6	APBB1IP
P12111	COL6A3
Q08AI8	MAB21L4
P0CE72	OCM
O60921	HUS1
P0C7N4	TMEM191B
Q0VD86	INCA1
Q9Y6E2	BZW2
O75953	DNAJB5
A6NFI3	ZNF316
P0DKL9	ARL14EPL
Q7L591	DOK3
Q14807	KIF22
Q7Z460	CLASP1
Q6PF18	MORN3
Q9BRN9	TM2D3
Q8ND61	C3orf20
Q9P227	ARHGAP23
Q5T749	KPRP
A6NHX0	CASTOR2
Q96D15	RCN3
Q69384	ERVK-6
O60447	EVI5
P01715	IGLV3-1
Q9C073	FAM117A
P49642	PRIM1
Q5T5P2	KIAA1217
O15269	SPTLC1
P00387	CYB5R3
O14654	IRS4
Q3LI76	KRTAP15-1
Q8NF91	SYNE1
Q96JN8	NEURL4
P35408	PTGER4
Q6ZWT7	MBOAT2
Q9Y5G7	PCDHGA6
Q8NA69	TEX45
A6NGH7	CCDC160
O75901	RASSF9
P81277	PRLH
Q14162	SCARF1
A0A087X179	TBC1D3E
O95843	GUCA1C
Q96FZ7	CHMP6
Q9UPY3	DICER1
Q6P4I2	WDR73
Q96ND8	ZNF583
Q9UK00	C3orf18
Q9GZX7	AICDA
Q96QF0	RAB3IP
Q96E40	SPACA9
P36873	PPP1CC
Q9BVJ7	DUSP23
Q9UKJ5	CHIC2
P61247	RPS3A
Q9GZV5	WWTR1
Q9Y6Z2	LINC01558
Q86VS8	HOOK3
Q9Y661	HS3ST4
O75643	SNRNP200
Q18PE1	DOK7
P60371	KRTAP10-6
Q9NR50	EIF2B3
Q8IX90	SKA3
Q86Y82	STX12
Q7LC44	ARC
Q96KR6	FAM210B
A6NGA9	TMEM202
Q9NTW7	ZFP64
O75821	EIF3G
Q9UKT9	IKZF3
Q6IPT4	CYB5RL
P22531	SPRR2E
P78382	SLC35A1
P19367	HK1
Q5VWM3	PRAMEF18
Q9NV58	RNF19A
Q6A555	TXNDC8
Q9Y2D5	AKAP2
C9JFL3	PHGR1
P17612	PRKACA
P60896	SEM1
P11277	SPTB
P02743	APCS
Q96R09	OR5B2
P21802	FGFR2
P06239	LCK
Q9UDX3	SEC14L4
Q8NG06	TRIM58
Q8NI38	NFKBID
Q8IV63	VRK3
Q9NQ66	PLCB1
Q8NGR1	OR13A1
Q6PGQ1	DRICH1
Q13938	CAPS
Q5VVP1	SPATA31A6
Q8IX01	SUGP2
Q14964	RAB39A
Q92556	ELMO1
A0A0A0MS14	IGHV1-45
Q9NSE4	IARS2
Q6UY01	LRRC31
Q13098	GPS1
Q96GW7	BCAN
Q6QHK4	FIGLA
Q6ZNJ1	NBEAL2
Q96GU1	PAGE5
P0CG32	ZCCHC18
P0C7T4	HMSD
P11177	PDHB
Q5VTB9	RNF220
Q9H9Y6	POLR1B
Q9UM01	SLC7A7
Q96J65	ABCC12
P51679	CCR4
P09919	CSF3
Q96S79	RASL10B
P08631	HCK
Q8WYJ6	SEPTIN1
O15327	INPP4B
Q9NY59	SMPD3
P61566	ERVK-24
Q8NE00	TMEM104
Q8IZE3	SCYL3
P05114	HMGN1
Q9BQI6	SLF1
Q8N910	C15orf56
Q8N9I5	FADS6
P12034	FGF5
P33316	DUT
Q5T124	UBXN11
P0CG05	IGLC2
P0CG05	IGLC3
Q9UJL9	ZFP69B
Q9H999	PANK3
Q9NVH6	TMLHE
Q06828	FMOD
Q14181	POLA2
P51993	FUT6
Q9H477	RBKS
Q5W188	CST9LP1
P10589	NR2F1
Q9BYX2	TBC1D2
Q13956	PDE6H
O95476	CTDNEP1
Q9Y6N7	ROBO1
P01599	IGKV1-17
Q07912	TNK2
Q96FX8	PERP
A0A075B6S6	IGKV2D-30
Q8WVD5	RNF141
Q9Y3B4	SF3B6
Q14444	CAPRIN1
Q8N3A8	PARP8
Q15526	SURF1
O43657	TSPAN6
Q86YD7	FAM90A1
Q14684	RRP1B
Q9ULP9	TBC1D24
Q8NBD8	TMEM229B
P29084	GTF2E2
Q2M3G0	ABCB5
Q92621	NUP205
Q9BZM3	GSX2
Q6UXD1	HRCT1
P0DMV1	CT45A8
P01350	GAST
Q01581	HMGCS1
A9UHW6	MIF4GD
Q32MK0	MYLK3
P01298	PPY
Q9HAQ2	KIF9
P17661	DES
Q8NHV1	GIMAP7
Q08AF8	GOLGA8F
Q08AF8	GOLGA8G
Q9UL26	RAB22A
P52294	KPNA1
Q9NRY5	FAM114A2
Q14108	SCARB2
Q2M2D7	TBC1D28
Q8NGY9	OR2L8
O76076	CCN5
Q8NH40	OR6S1
Q9C0A1	ZFHX2
Q8IWF7	UBE2DNL
P0CL81	GAGE12G
P29374	ARID4A
Q7Z7M1	ADGRD2
P27448	MARK3
Q96ER3	SAAL1
A0A1B0GVY4	SMIM31
Q96I25	RBM17
Q6P4E1	GOLM2
P0CG22	DHRS4L1
P78316	NOP14
O43555	GNRH2
Q8IZJ4	RGL4
Q6IPX1	TBC1D3C
Q86VR8	FJX1
P41227	NAA10
Q2TAK8	PWWP3A
Q9BQB6	VKORC1
A0A0J9YXY3	TRBV6-2
Q8N2K1	UBE2J2
Q969W8	ZNF566
Q8WW27	APOBEC4
Q3MIW9	MUCL3
P0CH99	ZNF705D
Q8NHU3	SGMS2
Q5T7N3	KANK4
Q9BYP9	KRTAP9-9
Q96RG2	PASK
A6NJZ3	OR6C65
Q6L8G4	KRTAP5-11
Q9H204	MED28
Q15435	PPP1R7
Q30KQ1	DEFB133
P61579	ERVK-25
Q8NE62	CHDH
Q9BZI7	UPF3B
Q8IZ41	RASEF
Q9H4M9	EHD1
P05976	MYL1
Q5T0J3	C1orf220
Q9H6F5	CCDC86
Q7LGA3	HS2ST1
Q9H5Q4	TFB2M
P43361	MAGEA8
Q99954	SMR3A
Q8WVN8	UBE2Q2
P50542	PEX5
Q05D32	CTDSPL2
Q8WY22	BRI3BP
Q9H7Z3	NRDE2
P29122	PCSK6
P53803	POLR2K
O14787	TNPO2
P0DP03	IGHV3-30-5
Q15208	STK38
Q9UJU3	ZNF112
Q9NPF8	ADAP2
O60224	SSX4
O60224	SSX4B
Q9Y5P1	OR51B2
Q8WTW4	NPRL2
Q9BU70	TRMO
Q9BVV2	FNDC11
P13533	MYH6
Q7Z5M5	TMC3
Q8N823	ZNF611
P83436	COG7
Q15615	OR4D1
Q8N1V2	CFAP52
Q9H8H2	DDX31
Q9HC56	PCDH9
Q6UWP8	SBSN
Q9P1U1	ACTR3B
P23415	GLRA1
Q9UJU2	LEF1
Q58EX7	PLEKHG4
O43688	PLPP2
Q96LK0	CEP19
P16615	ATP2A2
Q6PI25	CNIH2
O75575	CRCP
P33260	CYP2C18
Q5VW00	DCAF12L2
A6NNS2	DHRS7C
P30501	HLA-C
Q8TB73	NDNF
Q86WC4	OSTM1
Q9UGI8	TES
O75346	ZNF253
Q6UW15	REG3G
Q629K1	TRIQK
Q9UKF5	ADAM29
Q2M218	ZNF630
Q96M93	ADAD1
Q8NGP9	OR5AR1
P01282	VIP
Q9BQK8	LPIN3
Q76KD6	SPATC1
P67870	CSNK2B
Q8NEQ5	C1orf162
Q96GS4	BORCS6
O75448	MED24
Q92670	ZNF75CP
P14555	PLA2G2A
E5RG02	PRSS46P
Q9HCX3	ZNF304
Q6DD87	ZNF787
Q06413	MEF2C
O95436	SLC34A2
Q8N4J0	CARNMT1
Q9UQ35	SRRM2
Q8NI99	ANGPTL6
Q8WUM4	PDCD6IP
P05112	IL4
Q9H1Y0	ATG5
Q6ZRH7	CATSPERG
Q96B49	TOMM6
Q8WXT5	FOXD4L4
Q8NG41	NPB
Q8TBM8	DNAJB14
Q96K49	TMEM87B
Q03938	ZNF90
Q8TEL6	TRPC4AP
P32456	GBP2
Q6IPR3	TYW3
B7Z368	LINC02881
O60565	GREM1
P13646	KRT13
Q08174	PCDH1
Q7RTZ2	USP17L1
Q4W5P6	TMEM155
Q96F07	CYFIP2
Q8TC90	CCER1
Q9NP77	SSU72
P21266	GSTM3
Q9BTC0	DIDO1
Q5T1V6	DDX59
O60667	FCMR
P0CJ70	MTRNR2L3
P57054	PIGP
Q12816	TRO
P09601	HMOX1
Q92903	CDS1
A0A0J9YY54	TEX13D
Q9H6S1	AZI2
Q96CN9	GCC1
P55001	MFAP2
A0A0B4J277	TRAV22
Q6BCY4	CYB5R2
P19878	NCF2
Q03013	GSTM4
Q6NWY9	PRPF40B
Q9NR12	PDLIM7
P52798	EFNA4
Q86YI8	PHF13
Q8IXY8	PPIL6
Q14141	SEPTIN6
Q3SXP7	SHISAL1
P49281	SLC11A2
O14610	GNGT2
A0A075B759	PPIAL4E
Q5ZPR3	CD276
Q8IX94	CTAGE4
Q8N100	ATOH7
Q9BW04	SARG
Q8TDS7	MRGPRD
Q9NR55	BATF3
Q9NP94	SLC39A2
P20962	PTMS
Q659C4	LARP1B
Q9BXF6	RAB11FIP5
Q5JXA9	SIRPB2
A8MTJ3	GNAT3
Q9ULK5	VANGL2
Q68CJ6	NUGGC
O60675	MAFK
P02768	ALB
Q6TFL3	CCDC171
Q9H489	TSPY26P
Q96LB3	IFT74
Q9ULJ1	ODF2L
P35916	FLT4
Q9Y6Z4	KIF25-AS1
Q9NX14	NDUFB11
Q8NHZ8	CDC26
Q8NBA8	DTWD2
Q9NR00	TCIM
Q6IEV9	OR4C11
Q8WVK7	SKA2
P54845	NRL
P0DPR3	TRDD1
Q8IUW3	SPATA2L
Q9NS64	RPRM
O75521	ECI2
Q9UKA8	RCAN3
Q8TAE7	KCNG3
Q9C005	DPY30
Q8NGU2	OR9A4
P59534	TAS2R39
Q14914	PTGR1
Q9ULJ8	PPP1R9A
Q9P0L0	VAPA
Q9BWW9	APOL5
Q13905	RAPGEF1
P19634	SLC9A1
Q96QS3	ARX
P28749	RBL1
Q96M32	AK7
Q96QE3	ATAD5
O15037	KHNYN
Q9ULL0	KIAA1210
O96000	NDUFB10
Q9Y6L6	SLCO1B1
Q9H0W8	SMG9
Q86XP6	GKN2
Q9BWD1	ACAT2
P35348	ADRA1A
O15467	CCL16
Q9BXW9	FANCD2
Q5TCH4	CYP4A22
O43320	FGF16
P46093	GPR4
Q49AS3	LRRC37A5P
B3EWF7	EPM2A
O95139	NDUFB6
O95050	INMT
O75751	SLC22A3
P23975	SLC6A2
P04432	IGKV1D-39
P23468	PTPRD
Q8WWR8	NEU4
Q9Y2D8	SSX2IP
Q96LM6	TEX37
Q4G0N7	FAM229B
Q9H4D5	NXF3
Q06587	RING1
Q8TBB6	SLC7A14
P0DMW2	NLRP2B
Q8WWU7	ITLN2
Q8N628	OR2C3
Q969F1	GTF3C6
P98073	TMPRSS15
Q702N8	XIRP1
Q6ZU15	SEPTIN14
Q3SXZ7	TTLL9
Q6IQ23	PLEKHA7
P01185	AVP
Q02241	KIF23
Q4VCS5	AMOT
P06733	ENO1
E9PJ23	NPIPB6
Q96A25	TMEM106A
P0CB38	PABPC4L
Q8WXE9	STON2
Q4VC39	HIGD2B
Q9BY64	UGT2B28
Q6ZMK1	CYHR1
Q9BQ48	MRPL34
P18084	ITGB5
O60825	PFKFB2
Q9BVT8	TMUB1
A6NL88	SHISA7
Q2I0M5	RSPO4
Q9HCQ5	GALNT9
A6NCI5	LINC00862
Q3C1V1	C11orf91
Q8NDD1	C1orf131
Q8NBP7	PCSK9
Q8WWF3	SSMEM1
Q9H6E5	TUT1
P17039	ZNF30
Q6QNK2	ADGRD1
Q8NG92	OR13H1
Q07325	CXCL9
Q9H8E8	KAT14
Q6BEB4	SP5
Q8N126	CADM3
P05015	IFNA16
Q9BRA0	NAA38
O75460	ERN1
Q9Y5B0	CTDP1
Q7Z5J1	HSD11B1L
O43623	SNAI2
Q9BQ65	USB1
Q96GC6	ZNF274
O75123	ZNF623
P54252	ATXN3
Q5JRX3	PITRM1
Q9BYN8	MRPS26
Q13769	THOC5
Q4LDE5	SVEP1
Q9NXH8	TOR4A
P48382	RFX5
Q96N28	PRELID3A
Q02952	AKAP12
P07998	RNASE1
Q8IWT0	ZBTB8OS
P57076	CFAP298
Q96SL4	GPX7
P60507	ERVFC1
P17927	CR1
P23416	GLRA2
P35998	PSMC2
Q8WWC4	MAIP1
Q86XI2	NCAPG2
P56730	PRSS12
Q8NFV5	SPDYE1
B3EWG6	FAM25G
P42331	ARHGAP25
O00338	SULT1C2
P15515	HTN1
Q9BXE9	VN1R3
Q9BZE3	BARHL1
Q6ZT98	TTLL7
A6NJG2	SOWAHD
A8MW95	BECN2
O15529	GPR42
O75264	SMIM24
O75817	POP7
Q6L8Q7	PDE12
Q9H6D8	FNDC4
Q9UII4	HERC5
Q53GD3	SLC44A4
Q9BV23	ABHD6
A6PVL3	KNCN
Q9H340	OR51B6
A6NNB3	IFITM5
P30457	HLA-A
P31639	SLC5A2
Q6JVE5	LCN12
Q5VZ18	SHE
Q8IWL2	SFTPA1
Q9H5J8	TAF1D
O14810	CPLX1
O60763	USO1
Q8WVX9	FAR1
Q14093	CYLC2
C9JG80	NPIPB4
A0PJX4	SHISA3
Q9BXJ3	C1QTNF4
Q13561	DCTN2
O43603	GALR2
Q96S99	PLEKHF1
P07947	YES1
Q9NVF9	ETNK2
Q9BQS6	HSPB9
Q9H8J5	MANSC1
Q8N129	CNPY4
P59074	CHMP4BP1
Q5VIY5	ZNF468
Q7Z3Y9	KRT26
O00469	PLOD2
Q08554	DSC1
Q9HCH3	CPNE5
Q8N8L6	ARL10
E5RJM6	ANKRD65
P21283	ATP6V1C1
Q9Y2X0	MED16
Q8WU08	STK32A
Q9Y375	NDUFAF1
A6NLI5	TRIM64C
Q9NZJ4	SACS
Q8IWA4	MFN1
Q8N9T2	NKAPP1
Q8TAK5	GABPB2
Q16706	MAN2A1
Q13606	OR5I1
P22749	GNLY
Q13217	DNAJC3
Q8IZ13	ZBED8
Q5W0B7	TMEM236
P24347	MMP11
Q71DI3	H3C13
Q71DI3	H3C14
Q71DI3	H3C15
Q9BY89	KIAA1671
A0A0U1RRK4	LBHD2
O00189	AP4M1
Q17RY0	CPEB4
G3V211	LINC01619
Q96C34	RUNDC1
O00161	SNAP23
Q5SZB4	C9orf50
Q15614	OR8G2P
Q15614	OR8G3P
P10412	H1-4
A8MVZ5	BTNL10
P17538	CTRB1
Q0VGL1	LAMTOR4
O75340	PDCD6
Q8N2I2	ZNF619
P22466	GAL
P28331	NDUFS1
Q9NYF0	DACT1
Q8TF74	WIPF2
Q92878	RAD50
Q96FX2	DPH3
Q8TAG6	VXN
A6PVI3	NCBP2L
Q6J9G0	STYK1
P42830	CXCL5
Q9NZH5	PTTG2
Q8IXM7	ODF3L1
Q9Y5P0	OR51B4
O75526	RBMXL2
A6NGH8	ANKRD61
A0A1B0GVZ9	TMEM269
Q96I82	KAZALD1
Q8TCA0	LRRC20
Q9UIG4	PSORS1C2
Q92539	LPIN2
Q499Z3	SLFNL1
Q8TAF8	LHFPL5
Q9BVA6	FICD
P01717	IGLV3-25
A0A1B0GX78	TRBV12-5
Q7Z6Z6	PNPLA5
Q6PJW8	CNST
Q6H3X3	RAET1G
Q13617	CUL2
Q8IXM2	BAP18
Q14289	PTK2B
P54792	DVL1P1
Q96KK4	OR10C1
Q8NA77	TEX19
P13671	C6
O75204	TMEM127
Q92674	CENPI
Q8NFI3	ENGASE
Q7Z418	KCNK18
Q9BZK3	NACA4P
P04259	KRT6B
Q9NS66	GPR173
Q96DC7	TMCO6
O00221	NFKBIE
P0CK97	SLC35E2A
O00116	AGPS
P47895	ALDH1A3
Q9BZW2	SLC13A1
Q96K30	RITA1
A8MYX2	FAM25E
P98077	SHC2
Q9Y2L6	FRMD4B
O60271	SPAG9
Q9HBM0	VEZT
Q29865	HLA-C
A0A1B0GTR0	EDDM13
O95750	FGF19
Q96SB3	PPP1R9B
Q96A99	PTX4
Q9Y2X8	UBE2D4
P30084	ECHS1
Q5TYM5	FAM72A
Q9Y2Y0	ARL2BP
Q9NZN5	ARHGEF12
Q8WVB6	CHTF18
Q5T9C9	PIP5KL1
Q16772	GSTA3
Q9P2S2	NRXN2
P0DP75	MED14OS
Q6NXT6	TAPT1
Q6UXX9	RSPO2
Q9UM00	TMCO1
Q9UKP4	ADAMTS7
P08218	CELA2B
Q96G28	CFAP36
Q9BXT5	TEX15
Q6DN03	H2BC20P
P50876	RNF144A
Q96DB2	HDAC11
P20592	MX2
P28482	MAPK1
P43034	PAFAH1B1
Q7Z3G6	PRICKLE2
P07741	APRT
Q8N5J2	MINDY1
P0CAT3	TLX1NB
Q8IV33	KIAA0825
Q8IYR6	TMEFF1
O75094	SLIT3
Q9UBV8	PEF1
P0C7X0	FAM90A24P
P28336	NMBR
Q9NWQ9	C14orf119
Q14CZ8	HEPACAM
O00429	DNM1L
P30490	HLA-B
P61626	LYZ
O96017	CHEK2
Q9UNU6	CYP8B1
Q9Y3C1	NOP16
Q9H1Q7	PCED1A
P35711	SOX5
P22310	UGT1A4
P35716	SOX11
Q5VZ72	IZUMO3
Q9H347	UBQLN3
Q969L4	LSM10
Q9NYG5	ANAPC11
Q8N2F6	ARMC10
O00115	DNASE2
O15111	CHUK
Q5T6M2	LINC00242
Q6X4W1	NSMF
P41240	CSK
Q9H3N8	HRH4
Q08830	FGL1
Q6ZQN5	FOXI2
Q6ZUA9	MROH5
Q7Z442	PKD1L2
Q96BY9	SARAF
Q01650	SLC7A5
P30510	HLA-C
P15514	AREG
Q9BRS8	LARP6
A8MVW0	FAM171A2
Q9Y2G9	SBNO2
O00408	PDE2A
Q8NAU1	FNDC5
P15559	NQO1
Q8WTT0	CLEC4C
Q8WWT9	SLC13A3
Q1W209	ESRG
Q9BSW2	CRACR2A
Q9BQY6	WFDC6
A0A1B0GUT2	C10orf143
O94900	TOX
Q9Y679	AUP1
Q9UH65	SWAP70
P48736	PIK3CG
P61574	HERVK_113
Q96S82	UBL7
O43347	MSI1
Q07687	DLX2
Q6ICB4	PHETA2
Q2TAC6	KIF19
Q96NY7	CLIC6
Q96GA3	LTV1
P37840	SNCA
Q66K14	TBC1D9B
Q9NQX5	NPDC1
O14798	TNFRSF10C
P67936	TPM4
Q6XD76	ASCL4
Q6PIJ6	FBXO38
Q9UPI3	FLVCR2
O75578	ITGA10
Q6UXM1	LRIG3
Q6ZP65	BICDL1
Q5T0Z8	C6orf132
P08700	IL3
Q96QV1	HHIP
Q2VPK5	CTU2
O95626	ANP32D
Q13875	MOBP
A0A1B0GUJ8	PNMA8C
P24928	POLR2A
Q6UXH9	PAMR1
Q08334	IL10RB
Q8NG08	HELB
P06276	BCHE
Q8NCQ2	CSNK1G2-AS1
Q9UQ84	EXO1
Q9NYC9	DNAH9
Q15544	TAF11
Q9UBS8	RNF14
Q8NBI5	SLC43A3
Q9NTK5	OLA1
Q63HQ2	EGFLAM
Q9BYE2	TMPRSS13
Q9UKG9	CROT
P29083	GTF2E1
Q6XZB0	LIPI
Q8N6M9	ZFAND2A
Q9BZW4	TM6SF2
Q5VTU8	ATP5F1EP2
Q9UBK7	RABL2A
P30050	RPL12
Q9Y2P7	ZNF256
O43488	AKR7A2
Q6WN34	CHRDL2
Q9NX63	CHCHD3
Q1X8D7	LRRC36
Q9UI40	SLC24A2
Q9BXT6	MOV10L1
P53582	METAP1
Q14116	IL18
Q92793	CREBBP
Q15717	ELAVL1
Q6ZS10	CLEC17A
B2RXH2	KDM4E
Q9P0R6	GSKIP
Q6UWK7	GPR15L
O43776	NARS1
A6NKU9	SPDYE3
O60437	PPL
O43290	SART1
Q9BT04	FUZ
Q96PV4	PNMA5
Q5SVQ8	ZBTB41
P47883	OR3A4P
O75880	SCO1
A6NJL1	ZSCAN5B
Q99575	POP1
Q96JZ2	HSH2D
Q9Y263	PLAA
Q6ZMI0	PPP1R21
O00186	STXBP3
A0FGR9	ESYT3
Q8IZT9	FAM9C
Q8NGW6	OR6K6
Q7Z6G8	ANKS1B
Q92783	STAM
Q13569	TDG
P22792	CPN2
Q6ZS11	RINL
Q9HBE4	IL21
Q8N8V8	TMEM105
P59665	DEFA1
P59665	DEFA1B
P50395	GDI2
Q8N431	RASGEF1C
Q9Y6R9	CCDC61
O00755	WNT7A
Q5HYI7	MTX3
Q9UND3	NPIPA1
D6RJB6	USP17L20
Q8NC42	RNF149
O60828	PQBP1
Q9UH36	SRRD
Q9HCZ1	ZNF334
Q02161	RHD
Q8NGJ3	OR52E1
Q86YH6	PDSS2
Q16526	CRY1
Q9GZR5	ELOVL4
Q6E213	AWAT2
P0C671	BNIP5
Q9HB71	CACYBP
P14784	IL2RB
P0C7V9	METTL15P1
O00212	RHOD
Q9Y6X6	MYO16
Q9UBP8	KAAG1
O95361	TRIM16
P49711	CTCF
Q8WWL7	CCNB3
O14647	CHD2
Q9BRT8	CBWD1
P48449	LSS
Q15032	R3HDM1
Q92581	SLC9A6
Q8TD43	TRPM4
P0CG29	GSTT2
Q8TCX5	RHPN1
P37288	AVPR1A
Q96D71	REPS1
O95373	IPO7
O94827	PLEKHG5
Q9P2S6	ANKMY1
P49641	MAN2A2
Q9NWH7	SPATA6
P32754	HPD
Q99832	CCT7
Q13495	MAMLD1
Q8NEF3	CCDC112
P08910	ABHD2
Q03936	ZNF92
Q8NH80	OR10D3
P63316	TNNC1
P61421	ATP6V0D1
Q5T7P2	LCE1A
Q9HC57	WFDC1
Q3MJ62	ZSCAN23
Q14241	ELOA
P04054	PLA2G1B
Q99440	LINC01587
Q6BDI9	REP15
Q9NW68	BSDC1
Q5T5N4	C6orf118
P08865	RPSA
Q86VQ6	TXNRD3
Q7Z5U6	WDR53
P60509	ERVPABLB-1
Q7Z572	SPATA21
Q7RTW8	OTOA
Q9NZ71	RTEL1
Q5SRI9	MANEA
Q9UPM9	B9D1
P42226	STAT6
P62699	YPEL5
Q96L15	ART5
A6NNT2	C16orf96
Q5TZA2	CROCC
Q14687	GSE1
O95461	LARGE1
Q9NVX2	NLE1
Q86VF7	NRAP
B5MCY1	TDRD15
Q86X19	TMEM17
O76024	WFS1
Q9H9L7	AKIRIN1
A2RTX5	TARS3
P00156	MT-CYB
Q7RTU5	ASCL5
Q8N1N2	DYNAP
Q6UWY5	OLFML1
Q13275	SEMA3F
Q96SA4	SERINC2
P16471	PRLR
P49321	NASP
Q9BY10	SLC46A2
P28370	SMARCA1
O95819	MAP4K4
P49458	SRP9
Q9NSU2	TREX1
Q15849	SLC14A2
Q9Y6V7	DDX49
Q2HXU8	CLEC12B
P49189	ALDH9A1
Q8N4L8	CCDC24
Q8TD31	CCHCR1
Q96HC4	PDLIM5
P48307	TFPI2
Q8WVE7	TMEM170A
Q9NVX0	HAUS2
F2Z333	FNDC10
P42574	CASP3
C9JTQ0	ANKRD63
Q674X7	KAZN
A8MTZ0	BBIP1
O14920	IKBKB
P0CG13	CHTF8
Q02410	APBA1
P59539	TAS2R45
Q147U1	ZNF846
Q13470	TNK1
O95255	ABCC6
Q68CQ1	MROH7
O94782	USP1
Q96B26	EXOSC8
A6NMU1	OR52A4P
Q86U70	LDB1
Q13045	FLII
Q9P0V3	SH3BP4
O60783	MRPS14
Q9UM19	HPCAL4
O95169	NDUFB8
Q9Y6N1	COX11
P00915	CA1
Q92698	RAD54L
Q9P0Z9	PIPOX
A2A2Y4	FRMD3
P17542	TAL1
Q6UX71	PLXDC2
P40879	SLC26A3
Q8WW38	ZFPM2
O43396	TXNL1
Q10586	DBP
P19838	NFKB1
Q9H8M2	BRD9
P20794	MAK
O95397	PLEKHA8P1
Q07157	TJP1
Q8TCD5	NT5C
Q5VUJ9	EFCAB2
O00308	WWP2
Q86VG3	IFTAP
Q07021	C1QBP
Q8NDZ4	DIPK2A
Q53EL6	PDCD4
